id,title,department,location,type,description,requirements,responsibilities,qualifications,salary_range,application_deadline,published,created_at,updated_at
0f9e8537-cea6-4cde-8f11-bc02b35a5cb0,Senior .NET Developer/Lead,IT Practice,Chennai,full-time," Strong Experience in developing ASP.Net Web Application and MVC Application"," Strong Experience in developing ASP.Net Web Application and MVC Application
","[""Strong Experience in developing ASP.Net Web Application and MVC Application""]","[""Strong Experience in developing ASP.Net Web Application and MVC Application"",""Designing, coding, debugging and deploying applications."",""Hands on experience in HTML, CSS, XSL, XSLT, JavaScript and JQuery"",""Experience of working in n-Tier architecture"",""Hands on experience in SQL Database and writing SQL queries."",""Ability to be both a strong team player and individual contributor"",""Responsible for leading the team to develop the application."",""Strong communication and presentation skills"",""Candidate must possess at least a Degree in IT."",""Experience: 5+ years""]",5+ Years,2025-12-10,true,2025-12-10 06:53:24.376416+00,2025-12-10 14:59:27.243767+00
2760b297-7e0f-4c5b-83ef-88d9ebcee890,EPICOR Consultant – Finance,In ERP Practice,India,full-time,"<h5>Purpose of the Role</h5>

As an EPICOR Consultant, you will participate in consulting engagements and assume responsibility for performing implementation tasks and producing quality deliverables. You will assist your Epicor Consulting Manager to organize and control tasks within the work plan and demonstrate the ability to lead small project teams or small engagements. You must demonstrate the ability to work with the client on an independent basis for short-term engagements with little supervision by an Epicor Consulting Manager."," ","[""Tests, trains and troubleshoots system for customer, providing initial level of support for assigned product. Generate interest of customers in additional products and services."",""Responsible for timely entry of time and expenses in project accounting system."",""Ability to perform work plans, identify resource requirements, establish priorities for available resources and monitor the performance of project tasks."",""Possess accurate estimating skills for various project tasks."",""Ensure that project deliverables are completed on time and anticipate issues or conditions that may impact the original estimate or project budget."",""Must be willing to travel.""]","[""Strong education background in Finance (MBA/ ICWA/ CA)"",""7+ years consulting, business application training or customer support experience in the software industry required"",""Prior experience on implementations at customer site is mandatory."",""Experience with any ERP product (e.g MS Dynamics, Navision, Sage, Baan, IFS, SAP B1 etc..)"",""Knowledge of Epicor’s enterprise applications preferred"",""Effective teaching, excellent verbal/written communication skills and PC skills required""]",7+ Years,2025-12-10,true,2025-12-10 06:55:31.159094+00,2025-12-10 14:53:47.389644+00
5c7a497f-d840-4ef4-a594-29c7c0b02458,ERP Solution Architect,In ERP Practice,Germany,full-time,"<h5>Purpose of the Role</h5>

The ERP -Solution architect role is responsible for working jointly with the RheinBrücke direct Sales Management groups of an assigned Vertical to provide scoping, solutioning and estimation of the Professional Services effort required for new sales opportunities. Meanwhile the initial customer requirements are obtained by the Sales team, the Solution architect will work with the Sales team during the initial discovery and demo process to ensure that the prospect’s requirements are fully understood and included in the implementation SOW. The Solution architect is also responsible for presenting and delivery of the End to End solution for the ERP and Add (BI, DMS, PLM, e-Commerce MES, etc) on requirements from start to end of the project."," ","[""Partner with a team of Sales Representatives to validate the requirements"",""The Solution Architect maps specific requirements to the functions of the Epicor platform and performs onsite demonstrations"",""Helps to establish relationships in conjunction with sales with executive and senior leaders to create and maintain an operating plan to achieve the strategic vision and operating platform that defines the people, processes, tools, and technology"",""Partners with business and technology partners to elicit, analyze, translate, and document business requirements into technical requirements"",""Analyzes, documents and tests program development, logic, process flows and specifications"",""Partners with business partners to design and monitor user acceptance testing""]","[""8+ years’ experience in End to End ERP Processes and SOA architecture."",""You are interested in business processes, understand customer needs/requirements and are able to bring both together in a holistic approach"",""Experience with HRM, Middleware, Reporting, MDM."",""Experience with designing ERP modules for BBR, Forecasting, Sales Finance, Revenue Management."",""Bachelor’s degree in computer science or MS degree and any relevant certifications would be an advantage."",""Good German and English knowledge are required""]",8+ Years,2025-12-10,true,2025-12-10 06:58:25.969468+00,2025-12-10 14:50:19.045451+00
6f56145a-24ad-4340-ae37-70fe77db4219,Sr. Quality Assurance Engineer,IT Practice," Chennai",full-time," "," ","[""Design, develop and maintain test plans, test cases and test data for both manual and automated testing."",""Lead and execute end-to-end functional, regression, integration, and exploratory testing."",""Develop and maintain automation scripts using tools like Selenium, Postman, or similar frameworks."",""Collaborate with developers and cross functional team to understand features, requirements, and acceptance criteria, ensuring complete test coverage."",""Manage the defect lifecycle, ensuring accurate documentation, tracking, and timely resolution of bugs."",""Mentor and guide junior QA engineers in best practices for both manual and automation testing."",""Ensure all QA deliverables meet standards and support the team during critical release cycles.""]","[""Bachelor’s degree in Computer Science, Information Technology, or a related field."",""8+ years of experience in software testing, with strong expertise in manual testing and solid exposure to test automation."",""Strong understanding of SDLC, STLC, and defect management processes."",""Hands-on experience with automation frameworks such as Selenium WebDriver or any automation frame for web testing."",""Experience in API testing using tools like Postman."",""Working knowledge of SQL for database validation."",""Proficiency with bug tracking and test management tools (HP-Quality Center, JIRA, TestRail, Zephyr)."",""Excellent analytical, problem-solving, and communication skills set."",""Ability to work independently, lead testing initiatives and collaborate with cross-functional teams."",""Preferred but not mandatory"",""Exposure to performance testing tools (JMeter).""]",8+ Years,,true,2025-12-10 07:05:22.470217+00,2025-12-10 14:58:33.957756+00
b47b94e3-4e6a-4af1-8e89-ea80e4ff2d10,IT Support Analyst (Cloud),Product Development,Chennai,full-time,"

We are seeking a proactive and detail-oriented IT Support Analyst with hands-on experience in cloud technologies. The role involves providing technical support to end-users, managing IT infrastructure, and assisting in the deployment and maintenance of cloud-based solutions. The ideal candidate will combine strong troubleshooting skills with knowledge of modern cloud platforms and IT service management practices."," ","[""Provide first and second-level IT support to end-users for hardware, software, and network-related issues."",""Monitor, troubleshoot, and resolve incidents in a timely manner, ensuring minimal downtime."",""Manage and maintain user accounts, access rights, and permissions across systems."",""Support cloud-based environments (Azure/AWS/Google Cloud), including deployments, monitoring, and maintenance."",""Assist in the setup and configuration of servers, virtual machines, and cloud resources."",""Ensure IT policies, security standards, and compliance requirements are adhered to."",""Document issues, solutions, and best practices for knowledge sharing."",""Collaborate with cross-functional teams and vendors for escalations and advanced issue resolution."",""Participate in IT infrastructure upgrades, migrations, and cloud adoption projects.""]","[""Bachelor’s degree in Computer Science, Information Technology, or related field."",""2–4 years of experience in IT support, helpdesk, or system administration."",""Good knowledge of Windows and Linux environments."",""Hands-on experience with cloud platforms (Azure/AWS/Google Cloud)."",""Familiarity with Active Directory, Office 365, and Exchange Online."",""Understanding of networking concepts (LAN, WAN, VPN, DNS, DHCP, Firewalls)."",""Strong troubleshooting and problem-solving skills."",""Excellent communication and customer service skills.""]",2 - 4 Years,2025-12-10,true,2025-12-10 07:04:20.738542+00,2025-12-10 14:58:51.88925+00
b72b3f45-78f8-41de-9507-e8965dfe7df0,ERP Technical Consultant,In ERP Practice,Chennai,full-time,We are looking for for candidates with strong exposure on .Net framework. The ideal candidate will also be good on C# and SSRS," Working knowledge on any ERP","[""Working knowledge on any ERP""]","[""Working knowledge on any ERP"",""Mandatory knowledge on C# and should be willing to work on Windows Applications"",""Strong knowledge of report- writing tools, such as Crystal Reports and SSRS."",""Good verbal and written communication"",""Experience: 3-8 years""]",3 - 8 Years,2025-12-10,true,2025-12-10 06:57:04.715097+00,2025-12-10 14:57:10.477148+00
eb228c95-f63b-4e16-99f8-c598c32ed11e,Sr ERP Consultant / Presales Consultant / Solution Architect,In ERP Practice," Germany",full-time," 10+ years of ERP experience.(Any ERP is fine. EPICOR is preferred)
"," 10+ years of ERP experience.(Any ERP is fine. EPICOR is preferred)
","[""10+ years of ERP experience.(Any ERP is fine. EPICOR is preferred)"",""Experience in the End To End ERP Processes."",""Experience in understanding business processes, understand customer needs/requirements and are able to bring both together in a holistic approach."",""Experience working with SOA architecture"",""Experience with HRM, Middleware, Reporting, MDM."",""Experience with designing ERP modules for Forecasting, Sales Finance, Revenue Management."",""Good German and English knowledge are required. Knowledge of French language is an added advantage.""]","[""10+ years of ERP experience.(Any ERP is fine. EPICOR is preferred)""]",10+ Years,2025-12-10,true,2025-12-10 06:59:42.055672+00,2025-12-10 14:59:17.064417+00
eb97d985-864f-4226-b955-46d4e367eb53,Data Analyst,IT Practice," Chennai",full-time,"<h5>Purpose of the Role</h5>

We are looking for a highly skilled Data Analyst with strong experience in data management, database development, and reporting. The ideal candidate should have hands-on expertise in <b>SQL, SSIS, SSRS, and Azure Data Factory</b>, with a solid understanding of database optimization and performance tuning."," ","[""Develop, maintain, and enhance SSIS packages and SSRS reports to support business intelligence and reporting needs."",""Create, review, and optimize complex SQL and T-SQL queries for data extraction, transformation, and reporting."",""Design and implement Azure Data Factory pipelines to facilitate seamless data flow across systems."",""Ensure database optimization through effective indexing, query tuning, and join strategies."",""Collaborate with stakeholders to translate business requirements into efficient data solutions."",""Support and maintain existing SSIS packages and Azure pipelines to ensure data accuracy and reliability."",""Develop project plans that align with delivery timelines and organizational goals."",""Communicate effectively with business users and technical teams to ensure clarity and timely delivery of solutions.""]","[""Minimum of 4 years’ experience in a data-related role such as Data Analyst, Data Engineer, or Database Developer."",""Proven experience in SSIS, SSRS, SQL Server, T-SQL, and Azure Data Factory."",""Strong knowledge of database performance optimization techniques."",""Excellent analytical, problem-solving, and communication skills."",""Ability to manage multiple tasks and deliver within deadlines."",""Optional Skills"",""Experience with Power BI or other visualization tools."",""Familiarity with cloud-based data architectures and data governance practices.""]",4 Years,,true,2025-12-10 07:01:24.546675+00,2025-12-10 14:45:35.473495+00
